hue_deg,max_chroma,a,b,L,R,G,B,a_smooth,b_smooth,L_smooth,hex_smooth
24.7383626831,97.7906273155,88.8162043343,40.9229597952,47.8151446815,0.958827519323,0.0,0.202609120528,88.7751304624,41.1518797457,48.8291737861,#F80035
25.9527028488,98.2886489736,88.3767902681,43.0139681845,50.667481655,0.995592897801,0.0,0.212972118616,88.5348894918,42.836564158,48.6440504965,#F70032
26.927741735,99.0950127567,88.3509692703,44.8768067297,48.528501923,0.96787702944,0.0,0.182164982204,88.2746713264,44.7060043963,49.1374007407,#F90030
27.6954600562,99.5881839142,88.1784110604,46.2857882961,47.8076611214,0.958071773939,0.0,0.166388820218,88.0641834511,46.5703426088,49.1837491928,#F9002D
28.9596243854,100.243541917,87.7092026295,48.5372379745,50.6596980826,0.994794104828,0.0,0.174621357396,87.8876246457,48.4033160156,49.0121973886,#F80029
29.7034794125,101.067831977,87.7876628788,50.0802646445,48.5220363958,0.967206570601,0.0,0.145400657159,87.7286708949,50.2275148184,48.7250468986,#F70025
30.9803052331,102.117000867,87.5494274508,52.5640525367,48.5193462355,0.966922497167,0.0,0.126672425546,87.5644826126,52.1039709297,48.5275062547,#F70021
31.5702320855,102.640635104,87.4497241202,53.7368190891,47.7993682652,0.957205576059,0.0,0.111215095711,87.3755775902,54.143852162,48.7113320693,#F7001E
32.8039267663,103.721767914,87.1812031878,56.1929083599,49.2311163972,0.975896690936,0.0,0.103246617338,87.2028693397,56.2806187786,48.8787288676,#F80019
33.9270082154,104.844626404,86.9947534517,58.517591865,49.2290501146,0.975673155932,0.0,0.0819850349386,87.0117593216,58.4194456122,49.0359785719,#F80015
34.9867921604,105.981095045,86.8286412826,60.7682446682,49.2272170968,0.975473737284,0.0,0.0581487400518,86.8391228351,60.6678791857,49.1113613852,#F8000F
35.9876269158,107.12644799,86.6807128147,62.9486289351,49.2255894715,0.975295909306,0.0,0.0293530277732,86.7040984565,62.8545275117,49.0567260128,#F80007
36.9328437055,108.275721777,86.5491530987,65.0605565936,49.2241441801,0.975137551183,0.0,0.00138927719737,86.5657758783,65.1455789172,48.8070535851,#F70000
37.8459225944,109.582248087,86.5331030235,67.2331107186,47.0673066632,0.94633454674,0.0,0.0,86.4495936358,67.3236937714,48.5218416102,#F60000
38.8964016349,110.990269467,86.3817938478,69.6923640579,48.5063783523,0.965523463163,0.0,0.0,86.3234365027,69.6662580168,48.4578218392,#F60000
39.9672116046,112.284863498,86.0564850838,72.1260836707,49.9316467719,0.983767791719,0.0,0.0,86.2133602635,72.1322805223,48.2622765354,#F50000
