case_index,geometry_mode,collection_na,collection_direction,integration_quantity_for_colour,n_layers,n_layers_total,outer_layer,actual_outer_layer,diameter_nm,outer_radius_nm,core_radius_nm,t_a_nm,t_b_nm,core_thickness_factor,design_peak_wavelength_nm,peak_wavelength_m,Qsca_max,Qsca_peak_wavelength_nm,Qext_max,Qabs_max,Csca_max_m2,Ccollected_max_m2,fraction_collected_max,fraction_collected_mean,spectrum_peak_wavelength_nm,spectrum_peak_value,spectrum_integral,spectrum_centroid_nm,CIELAB_L,CIELAB_a,CIELAB_b,CIELAB_C,CIELAB_hue_deg,Performance in Rosch-MacAdam Solid_eta_C,Performance in Rosch-MacAdam Solid_eta_L,Performance in Rosch-MacAdam Solid_eta_Y,XYZ_X,XYZ_Y,XYZ_Z,xyY_x,xyY_y,xyY_Y,sRGB_r,sRGB_g,sRGB_b,sRGB_r_clipped,sRGB_g_clipped,sRGB_b_clipped,sRGB_was_clipped,HSV_h,HSV_s,HSV_v,Hex_hex,Input Spectrum Info_normalize_input,Input Spectrum Info_normalization,Input Spectrum Info_input_min,Input Spectrum Info_input_max,Input Spectrum Info_used_min,Input Spectrum Info_used_max,Warnings_messages
10,peak_wavelength,0.8,backward,c_collected_m2,11,11,A,A,1614.61650599,807.308252993,38.8767527531,77.7535055063,75.9327945417,0.5,500.0,5e-07,3.67558016898,678.0,3.67558016898,5.12923037377e-13,7.52583265101e-12,7.00971572938e-14,0.0196911259296,0.00665819168413,405.0,7.00971572938e-14,9.98501748421e-12,516.421555046,71.6538162013,4.67662484028,-23.5899411653,24.0490362401,281.213299656,0.26047650335,0.531925269568,0.675223308857,42.5499025555,43.1457992789,72.6052432403,0.268791209903,0.272555538178,43.1457992789,0.629140732504,0.685195261719,0.85599250673,0.629140732504,0.685195261719,0.85599250673,False,0.625483733151,0.265016074839,0.85599250673,#A0AEDA,True,max,1.4502536485e-14,7.00971572938e-14,0.206891934635,1.0,[]
11,peak_wavelength,0.8,backward,c_collected_m2,11,11,B,B,1612.79579502,806.397897511,37.9663972709,77.7535055063,75.9327945417,0.5,500.0,5e-07,3.73060368176,684.0,3.73060368176,8.32667268469e-14,7.62127724832e-12,6.64043509829e-14,0.0182587121449,0.00747222502599,429.0,6.64043509829e-14,1.13393032088e-11,515.725613399,78.0326893317,-3.77590173291,-26.0426660532,26.3149746162,261.750226547,0.332681149031,0.552573592949,0.598299316946,49.226620825,53.2675354529,90.6980976264,0.254806390164,0.275722935969,53.2675354529,0.604808926554,0.773496237928,0.944059782706,0.604808926554,0.773496237928,0.944059782706,False,0.583794209941,0.359353149415,0.944059782706,#9AC5F0,True,max,1.44368481177e-14,6.64043509829e-14,0.217408165339,1.0,[]
12,peak_wavelength,0.8,backward,c_collected_m2,7,7,A,A,1105.01565751,552.507828753,42.997670166,85.995340332,83.8413791971,0.5,550.0,5.5e-07,3.68378785483,478.0,3.68378785483,8.57092175011e-14,3.53281874992e-12,2.0723903099e-14,0.00688015861692,0.00291113103678,400.0,2.0723903099e-14,2.78892182996e-12,526.350567546,66.095384381,11.0360711653,-28.6518046407,30.7037583356,291.065633058,0.290840719059,0.581633923377,0.736165493572,36.9425989367,35.4472260006,67.1128504153,0.264816419064,0.254097105385,35.4472260006,0.599224553111,0.613751552835,0.830964430305,0.599224553111,0.613751552835,0.830964430305,False,0.6562188894,0.278880622013,0.830964430305,#989CD3,True,max,4.99277307168e-15,2.0723903099e-14,0.24091856866,1.0,[]
13,peak_wavelength,0.8,backward,c_collected_m2,7,7,B,B,1102.86169637,551.430848186,41.9206895985,85.995340332,83.8413791971,0.5,550.0,5.5e-07,3.75684879358,480.0,3.75684879358,2.35367281221e-13,3.58885328243e-12,2.07368849297e-14,0.00685845261243,0.00361132764639,400.0,2.07368849297e-14,3.5636690114e-12,530.134897126,79.1026324708,5.03875977322,-12.909238487,13.8577609434,291.321795404,0.131267355393,0.358494489388,0.5119682237,54.3316531467,55.1066039797,75.3341539197,0.29404635053,0.298240433557,55.1066039797,0.759824085945,0.760188261444,0.861907726704,0.759824085945,0.760188261444,0.861907726704,False,0.666072096214,0.118439175792,0.861907726704,#C1C1DB,True,max,5.59550951592e-15,2.07368849297e-14,0.269833657991,1.0,[]
14,peak_wavelength,0.8,backward,c_collected_m2,9,9,A,A,1444.68909656,722.344548282,42.997670166,85.995340332,83.8413791971,0.5,550.0,5.5e-07,3.67928633838,611.0,3.67928633838,5.99520433298e-14,6.0311795727e-12,4.41112852492e-14,0.0141226879256,0.00474394050465,405.0,4.41112852492e-14,6.57948358917e-12,514.045378271,71.2300897297,0.697892183249,-29.8214586261,29.8296236666,271.340611128,0.355541929478,0.589094881221,0.708087839383,40.6418119162,42.5231070712,79.6813371869,0.249571668831,0.261124253453,42.5231070712,0.552681093316,0.692183463018,0.895288963274,0.552681093316,0.692183463018,0.895288963274,False,0.598803675215,0.382678536218,0.895288963274,#8CB0E4,True,max,8.36212732141e-15,4.41112852492e-14,0.189568888645,1.0,[]
15,peak_wavelength,0.8,backward,c_collected_m2,9,9,B,B,1442.53513543,721.267567715,41.9206895985,85.995340332,83.8413791971,0.5,550.0,5.5e-07,3.74330855798,617.0,3.74330855798,3.60600438398e-13,6.11784272889e-12,4.64412169266e-14,0.014242963115,0.00550645329292,409.0,4.64412169266e-14,7.91289096463e-12,521.189961608,80.520572407,-14.6859105544,-12.4825488282,19.2740756993,220.363460371,0.244742914141,0.667868161395,0.593887503358,49.158106555,57.6083847818,77.9421697337,0.266138611314,0.311887837029,57.6083847818,0.600252737745,0.819078540869,0.872300840869,0.600252737745,0.819078540869,0.872300840869,False,0.53260593708,0.311874172737,0.872300840869,#99D0DE,True,max,8.82111628881e-15,4.64412169266e-14,0.189941540566,1.0,[]
16,peak_wavelength,0.8,backward,c_collected_m2,11,11,A,A,1784.36253562,892.181267811,42.997670166,85.995340332,83.8413791971,0.5,550.0,5.5e-07,3.63362817424,700.0,3.63362817424,6.2172489379e-14,9.08649847741e-12,8.93163776848e-14,0.0191549365466,0.00847103135801,406.0,8.93163776848e-14,1.40953494435e-11,519.027474263,71.941132524,10.2073939394,-32.6794194791,34.2364622665,287.346158241,0.343948434553,0.498498110916,0.653415863267,44.8491991297,43.5714682756,85.221957238,0.258284503715,0.250926109676,43.5714682756,0.633203270345,0.678615445368,0.924560425154,0.633203270345,0.678615445368,0.924560425154,False,0.6406892856,0.315130462955,0.924560425154,#A1ADEB,True,max,2.66590560072e-14,8.93163776848e-14,0.298478920644,1.0,[]
17,peak_wavelength,0.8,backward,c_collected_m2,11,11,B,B,1782.20857449,891.104287244,41.9206895985,85.995340332,83.8413791971,0.5,550.0,5.5e-07,3.68654151164,700.0,3.68654151164,1.22568621919e-13,9.19657395308e-12,8.93426166074e-14,0.0188964603777,0.00930599267399,408.0,8.93426166074e-14,1.58600436931e-11,522.472957168,80.2377926799,-6.3561481859,-19.1686504814,20.1949939599,251.654953824,0.265657774921,0.611592629064,0.577667140898,51.8175297538,57.1035347982,86.3278994959,0.265392085466,0.292465238301,57.1035347982,0.642929365783,0.80064086073,0.91866654406,0.642929365783,0.80064086073,0.91866654406,False,0.571339481113,0.300149363291,0.91866654406,#A3CCEA,True,max,2.67555998659e-14,8.93426166074e-14,0.299471863282,1.0,[]
18,peak_wavelength,0.8,backward,c_collected_m2,7,7,A,A,1210.19323097,605.096615483,47.1197587403,94.2395174806,91.7527681002,0.5,600.0,6e-07,3.68020338342,519.0,3.68020338342,2.53574938824e-13,4.23322293605e-12,2.50077335821e-14,0.00764805856404,0.00315139442859,426.0,2.50077335821e-14,3.60357971692e-12,511.691126583,67.9834540813,10.0398602676,-37.2499181934,38.5792068297,285.084314876,0.398438814425,0.579067704969,0.724341433366,39.1545419269,37.9496023423,82.1345063662,0.245885918843,0.23831903995,37.9496023423,0.561979124326,0.639471118911,0.912588740528,0.561979124326,0.639471118911,0.912588740528,False,0.629829877731,0.38419235372,0.912588740528,#8FA3E8,True,max,5.53931888314e-15,2.50077335821e-14,0.221504234478,1.0,[]
19,peak_wavelength,0.8,backward,c_collected_m2,7,7,B,B,1207.70648159,603.853240793,45.8763840501,94.2395174806,91.7527681002,0.5,600.0,6e-07,3.7590080202,523.0,3.7590080202,5.47117906535e-13,4.30611801316e-12,2.65553451444e-14,0.00769868520547,0.00398433530518,425.0,2.65553451444e-14,4.67687485392e-12,529.704337409,78.0833417651,2.9003540907,-20.074224651,20.2826662249,278.221288978,0.226971707355,0.421485665473,0.560623248098,51.8061420706,53.353662436,82.4569333061,0.27612750693,0.28437581347,53.353662436,0.699689995516,0.756736823931,0.902105082762,0.699689995516,0.756736823931,0.902105082762,False,0.619694848186,0.224380830032,0.902105082762,#B2C0E6,True,max,6.21937386514e-15,2.65553451444e-14,0.234204218824,1.0,[]
20,peak_wavelength,0.8,backward,c_collected_m2,9,9,A,A,1582.17780213,791.088901064,47.1197587403,94.2395174806,91.7527681002,0.5,600.0,6e-07,3.67087961352,664.0,3.67087961352,1.83852932878e-13,7.21723086257e-12,6.47003748917e-14,0.0194040797338,0.00630047917848,400.0,6.47003748917e-14,9.17356551755e-12,512.660038105,70.3557264243,-1.87500109605,-28.5709233595,28.6323818556,266.245279881,0.353795158074,0.664110849594,0.741158551,38.6235183124,41.257172199,76.0787098606,0.247651108047,0.264537899611,41.257172199,0.525188213343,0.688116416252,0.876391482117,0.525188213343,0.688116416252,0.876391482117,False,0.589347624109,0.40073788477,0.876391482117,#85AFDF,True,max,1.43070877339e-14,6.47003748917e-14,0.221128359115,1.0,[]
21,peak_wavelength,0.8,backward,c_collected_m2,9,9,B,B,1579.69105275,789.845526373,45.8763840501,94.2395174806,91.7527681002,0.5,600.0,6e-07,3.73800751409,672.0,3.73800751409,4.61852778244e-14,7.32612573692e-12,6.5491859764e-14,0.018886534466,0.00707556761217,400.0,6.5491859764e-14,1.07956534699e-11,523.020923625,78.3574879565,1.73177955896,-15.9640029612,16.0576601965,276.191251963,0.183309516472,0.422033367969,0.558835722336,51.8111233302,53.8214189396,77.6184698388,0.282733081439,0.293703256098,53.8214189396,0.711570496205,0.760983620406,0.875338514323,0.711570496205,0.760983620406,0.875338514323,False,0.616378943857,0.187091068699,0.875338514323,#B5C2DF,True,max,1.44406818071e-14,6.5491859764e-14,0.220495827407,1.0,[]
22,peak_wavelength,0.8,backward,c_collected_m2,11,11,A,A,1954.16237329,977.081186644,47.1197587403,94.2395174806,91.7527681002,0.5,600.0,6e-07,3.47537606728,700.0,3.47537606728,1.61648472385e-13,1.04234858489e-11,1.25652016109e-13,0.0188317381935,0.00997962842458,406.0,1.25652016109e-13,1.90093936894e-11,517.568806905,72.3353195039,-7.03525080835,-26.5830781118,27.4982689607,255.176433304,0.358359098761,0.718764440953,0.738342155588,39.688301504,44.1600122211,77.9265179976,0.245330507109,0.272972079469,44.1600122211,0.505076271925,0.719426492687,0.88378360867,0.505076271925,0.719426492687,0.88378360867,False,0.572332511166,0.428506857369,0.88378360867,#80B7E1,True,max,3.18501592923e-14,1.25652016109e-13,0.253479094713,1.0,[]
23,peak_wavelength,0.8,backward,c_collected_m2,11,11,B,B,1951.67562391,975.837811954,45.8763840501,94.2395174806,91.7527681002,0.5,600.0,6e-07,3.50709365754,700.0,3.50709365754,5.95079541199e-14,1.04918608269e-11,1.28640561759e-13,0.0189860693564,0.0109047472261,409.0,1.28640561759e-13,2.14353148513e-11,525.7253587,78.3489865358,-4.09630372876,-15.4421577272,15.9762304537,255.143448958,0.20820319836,0.612247678542,0.610786903472,49.6111997386,53.806872644,76.9212783124,0.275099136974,0.298364569001,53.806872644,0.662968592129,0.773911247766,0.870833479507,0.662968592129,0.773911247766,0.870833479507,False,0.577712525159,0.238696481325,0.870833479507,#A9C5DE,True,max,3.68880615858e-14,1.28640561759e-13,0.286752957864,1.0,[]
